auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,best_C
0.9373239951331296,0.10641362640705919,5755,82,0.014248479582971329,1.0654340964521336,-4.354251588322471,0.060556450611126494,0.2210440357341887,1,0.01
0.9040383846461415,0.11128798981684329,5755,82,0.014248479582971329,1.0370493918886168,-4.006655281138434,0.056726421338457754,0.2369304110781877,2,0.001
0.9097362652301731,0.11588656428002617,5755,83,0.014422241529105127,0.8485412046049394,-4.160948491250083,0.059734119076076723,0.22701835811775853,3,10.0
0.9373268815742517,0.11577301681246317,5755,83,0.014422241529105127,0.9916575268252138,-4.389373961295754,0.058284321838402015,0.2330240883620096,4,0.01
0.9000426954645097,0.11179209599718654,5755,83,0.014422241529105127,0.8685301182137957,-4.128315668016018,0.061391405605293735,0.2205005687064291,5,0.01
0.940436977536207,0.11435270199576651,5754,82,0.014250955856795273,1.2756052137192984,-4.478690703461532,0.05527649281048856,0.24356127375866973,6,0.001
0.9233354260552479,0.11681518611103112,5754,82,0.014250955856795273,1.134490146730494,-4.284595357865931,0.054779326623975985,0.24590112586955934,7,0.001
0.912847449172658,0.10714137942259468,5754,82,0.014250955856795273,0.9120006003705081,-4.124165530826278,0.06130219407321751,0.21821961183241914,8,0.01
0.8787776497299528,0.11148637664636149,5754,82,0.014250955856795273,0.8053997529566999,-3.9914623409959287,0.06096319870666913,0.21951230065087673,9,0.01
0.9135376173930991,0.1130492789282029,5754,82,0.014250955856795273,1.1067427281398017,-4.161175436036378,0.056206621501196596,0.23929489828232756,10,0.001
