model_id,validation,threshold,net_benefit_model,net_benefit_all,net_benefit_none
LR-INS-B,INSPIRE_to_MOVER,0.045,0.0,-0.032144658926157955,0.0
LR-INS-B,INSPIRE_to_MOVER,0.05,0.0,-0.03757699923629563,0.0
LR-INS-B,INSPIRE_to_MOVER,0.055,0.0,-0.043066824629080264,0.0
LR-INS-B,INSPIRE_to_MOVER,0.06,0.0,-0.04861505241966047,0.0
LR-INS-B,INSPIRE_to_MOVER,0.065,0.0,-0.0542226195448993,0.0
LR-INS-B,INSPIRE_to_MOVER,0.07,0.0,-0.05989048309083963,0.0
LR-INS-B,INSPIRE_to_MOVER,0.075,0.0,-0.06561962083727657,0.0
LR-INS-B,INSPIRE_to_MOVER,0.08,0.0,-0.07141103182008786,0.0
LR-INS-B,INSPIRE_to_MOVER,0.085,0.0,-0.07726573691200092,0.0
LR-INS-B,INSPIRE_to_MOVER,0.09,0.0,-0.0831847794225064,0.0
LR-INS-B,INSPIRE_to_MOVER,0.095,0.0,-0.08916922571765838,0.0
LR-INS-B,INSPIRE_to_MOVER,0.1,0.0,-0.09522016586053428,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.02,0.0012972437214861456,-0.009300143499277701,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.025,0.001116699640398164,-0.014476041671068867,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.03,0.0010221650334115188,-0.019705299617826952,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.035,0.0009447877245019654,-0.02498874676610585,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.04,0.0008787041615324442,-0.030327229822179322,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.045,0.0007966014629508204,-0.03572161322438968,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.05,0.0007534552989098443,-0.041172779609781204,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.055,0.0007287055547437141,-0.04668163029554724,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.06,0.0006915023033656174,-0.0522490857758427,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.065,0.0006539431268000383,-0.05787608623453706,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.07,0.0006440827555197056,-0.06356359207450771,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.075,0.0006181218302430423,-0.06931258446409962,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.08,0.0005998978330994142,-0.07512406590140451,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.085,0.0005898378145438917,-0.08099906079704061,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.09,0.0005572429814854056,-0.08693861607614521,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.095,0.0005474865679118148,-0.09294380180032281,0.0
XGB-MOV-A,MOVER_to_INSPIRE,0.1,0.0005249769559533869,-0.09901571181032462,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.02,0.0015178023836032494,-0.009300143499277701,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.025,0.0012724620339227954,-0.014476041671068867,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.03,0.0011335003524944169,-0.019705299617826952,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.035,0.00101265888673645,-0.02498874676610585,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.04,0.0009192547071334951,-0.030327229822179322,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.045,0.00086156725852109,-0.03572161322438968,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.05,0.0008212001832416506,-0.041172779609781204,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.055,0.000772349818365531,-0.04668163029554724,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.06,0.0007472766982760535,-0.0522490857758427,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.065,0.0007406123108602447,-0.05787608623453706,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.07,0.0007329479470241933,-0.06356359207450771,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.075,0.0007178188996370815,-0.06931258446409962,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.08,0.0007015869993472102,-0.07512406590140451,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.085,0.0006759996824577053,-0.08099906079704061,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.09,0.0006657419244831832,-0.08693861607614521,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.095,0.0006574521893457102,-0.09294380180032281,0.0
XGB-MOV-B,MOVER_to_INSPIRE,0.1,0.0006383440726875069,-0.09901571181032462,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.02,0.003387665725328063,-0.009300143499277701,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.025,0.0028019118928209836,-0.014476041671068867,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.03,0.0025323930353608583,-0.019705299617826952,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.035,0.002442101201718096,-0.02498874676610585,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.04,0.00227246565630404,-0.030327229822179322,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.045,0.0020701529506860303,-0.03572161322438968,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.05,0.001828698798395768,-0.041172779609781204,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.055,0.0016479758342833536,-0.04668163029554724,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.06,0.0014862039362361738,-0.0522490857758427,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.065,0.0013348313461747268,-0.05787608623453706,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.07,0.0010801382583722106,-0.06356359207450771,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.075,0.0009821221942434065,-0.06931258446409962,0.0
LR-MOV-A,MOVER_to_INSPIRE,0.08,0.0008831260478164299,-0.07512406590140451,0.0
