model_name,train_dataset,test_dataset,auc_point_raw,ci_lower_025_raw,ci_upper_975_raw,auc_point_recal,ci_lower_025_recal,ci_upper_975_recal,auc_raw_minus_recal,method,n_bootstraps,seed
XGB-INS-A,INSPIRE,MOVER,0.785103857345559,0.7723706942487288,0.797999490709454,0.785103857345559,0.7723706942487288,0.797999490709454,0.0,paired-case-bootstrap-percentile,2000,42
XGB-INS-B,INSPIRE,MOVER,0.8952584631497492,0.886403036428166,0.9041888607702455,0.8952584631497492,0.886403036428166,0.9041888607702455,0.0,paired-case-bootstrap-percentile,2000,42
LR-INS-A,INSPIRE,MOVER,0.7960276663018024,0.7803981482944794,0.8121208713895094,0.7960276663018024,0.7803981482944794,0.8121208713895094,0.0,paired-case-bootstrap-percentile,2000,42
LR-INS-B,INSPIRE,MOVER,0.7409764225795157,0.7194657051538529,0.7611082574696851,0.7409764225795157,0.7194657051538529,0.7611082574696851,0.0,paired-case-bootstrap-percentile,2000,42
XGB-MOV-A,MOVER,INSPIRE,0.7557296401833105,0.7411302098160629,0.7705721174077071,0.7557296401833105,0.7411302098160629,0.7705721174077071,0.0,paired-case-bootstrap-percentile,2000,42
XGB-MOV-B,MOVER,INSPIRE,0.8120957599632884,0.800428075798514,0.8236630951934664,0.8120957599632884,0.800428075798514,0.8236630951934664,0.0,paired-case-bootstrap-percentile,2000,42
LR-MOV-A,MOVER,INSPIRE,0.8060525150444746,0.793152883675147,0.8190581671620225,0.8060525150444746,0.793152883675147,0.8190581671620225,0.0,paired-case-bootstrap-percentile,2000,42
LR-MOV-B,MOVER,INSPIRE,0.838719722190055,0.8271227909173495,0.8500799031536286,0.838719722190055,0.8271227909173495,0.8500799031536286,0.0,paired-case-bootstrap-percentile,2000,42
