model_name,internal_dataset,external_dataset,feature,mean_abs_shap_internal,mean_abs_shap_external,rank_internal,rank_external,rank_delta,spearman_rho_internal_vs_external
XGB-INS-B,INSPIRE,MOVER,dbp_last,0.005219954,0.0071023116,82.0,78.0,-4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_n,0.0005724509,0.000504908,115.0,115.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_mean,0.0095028775,0.012979596,60.0,59.0,-1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_min,0.002434785,0.0028252667,99.0,107.0,8.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_max,0.0018512541,0.0037734234,108.0,98.0,-10.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_std,0.0070562116,0.007699531,74.0,71.0,-3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_first,0.0042702416,0.007346491,89.0,75.0,-14.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_last,0.0026544505,0.0034073622,96.0,100.0,4.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_n,0.0020513935,0.0012917942,105.0,112.0,7.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_mean,0.018529065,0.018563729,38.0,47.0,9.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_min,0.0050242874,0.0038846657,85.0,97.0,12.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_max,0.005459029,0.004636503,80.0,92.0,12.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_std,0.020594882,0.018398887,36.0,48.0,12.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_first,0.0025962028,0.0020421764,97.0,110.0,13.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_last,0.0078029903,0.013471704,69.0,58.0,-11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_art_n,0.0004647897,0.0070157014,116.0,79.0,-37.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_mean,0.079800375,0.06435778,10.0,13.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_min,0.009342213,0.0060389647,62.0,88.0,26.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_max,0.00890685,0.0077242153,65.0,68.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_std,0.06099118,0.046074253,13.0,16.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_first,0.011203924,0.008291469,52.0,67.0,15.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_last,0.04373701,0.047580354,18.0,15.0,-3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_art_n,0.0071257115,0.006552615,73.0,83.0,10.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_mean,0.060581908,0.0485035,14.0,14.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_min,0.017277984,0.01358483,41.0,57.0,16.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_max,0.0052165254,0.004295241,83.0,93.0,10.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_std,0.03510198,0.036481116,23.0,24.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_first,0.0073250677,0.0075210663,71.0,72.0,1.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_last,0.07962852,0.0824591,11.0,11.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,map_art_n,0.0015436857,0.0066760504,111.0,82.0,-29.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_mean,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_min,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_max,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_std,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_first,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_last,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,sbp_max_n,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_mean,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_min,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_max,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_std,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_first,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_last,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,dbp_max_n,0.0,0.0,118.0,118.0,0.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_mean,0.0051887454,0.006064939,84.0,87.0,3.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_min,0.003373653,0.003049741,93.0,104.0,11.0,0.9722196597303672
XGB-INS-B,INSPIRE,MOVER,etco2_max,0.0073870933,0.0074127116,70.0,73.0,3.0,0.9722196597303672
