dimension,framing,framing_label,group,original_mean_degradation,matched_mean_degradation,matched_ci_lower,matched_ci_upper,original_asymmetry_pp,matched_asymmetry_pp,matched_asymmetry_ci_lower,matched_asymmetry_ci_upper,bootstrap_p_for_matched_asymmetry,n_inspire_test,n_mover_test,inspire_emergency,inspire_elective,mover_emergency,mover_elective,interpretation
emergency,emergency_match_mover_prop,INSPIRE matched to MOVER emergency rate (15.6%),INSPIRE-trained,0.054009624625638714,0.054009624625638714,0.041574851303717124,0.06689041852669027,0.08529513967311195,0.06008455708036893,0.042536091723267555,0.0792799830371125,0.0009995002498750624,64314,57545,10033,54281,8987,48558,partial_driver
emergency,emergency_match_mover_prop,INSPIRE matched to MOVER emergency rate (15.6%),MOVER-trained,0.13930476429875055,0.11409418170600764,0.10056319337451691,0.1278327034947251,0.08529513967311195,0.06008455708036893,0.042536091723267555,0.0792799830371125,0.0009995002498750624,64314,57545,10033,54281,8987,48558,partial_driver
emergency,emergency_match_inspire_prop,MOVER matched to INSPIRE emergency rate (7.9%),INSPIRE-trained,0.054009624625638714,0.06608061026516711,0.051988374598800235,0.08079531495326625,0.08529513967311195,0.07322415403358344,0.053651781160937224,0.09222551422161138,0.0009995002498750624,127413,52723,10033,117380,4165,48558,not_primary_driver
emergency,emergency_match_inspire_prop,MOVER matched to INSPIRE emergency rate (7.9%),MOVER-trained,0.13930476429875055,0.13930476429875055,0.12720942772811872,0.15118665303654852,0.08529513967311195,0.07322415403358344,0.053651781160937224,0.09222551422161138,0.0009995002498750624,127413,52723,10033,117380,4165,48558,not_primary_driver
emergency,emergency_balanced_midpoint,Both matched to midpoint emergency rate (11.75%),INSPIRE-trained,0.054009624625638714,0.05883039876483703,0.04591266650069421,0.07293630823554846,0.08529513967311195,0.07158777869510519,0.052515602539241514,0.09020087764395851,0.0009995002498750624,85387,55023,10033,75354,6465,48558,not_primary_driver
emergency,emergency_balanced_midpoint,Both matched to midpoint emergency rate (11.75%),MOVER-trained,0.13930476429875055,0.13041817745994222,0.11774812989320346,0.1434082580552,0.08529513967311195,0.07158777869510519,0.052515602539241514,0.09020087764395851,0.0009995002498750624,85387,55023,10033,75354,6465,48558,not_primary_driver
