model,group,internal_auc,external_auc,degradation
XGB-INS-A,INSPIRE-trained,0.807158948936173,0.7851038573455591,0.027324347477881893
XGB-INS-B,INSPIRE-trained,0.8603656686994618,0.8952584631497492,-0.04055577264377796
LR-INS-A,INSPIRE-trained,0.8513001048032214,0.7960276663018024,0.0649270899763312
LR-INS-B,INSPIRE-trained,0.8866990584826965,0.7409764225795157,0.16434283369211958
XGB-MOV-A,MOVER-trained,0.9475098927415726,0.7557296401833105,0.20240448572347414
XGB-MOV-B,MOVER-trained,0.941537017338041,0.8120957599632883,0.13747867050486792
LR-MOV-A,MOVER-trained,0.9138827436732532,0.8060525150444746,0.1179913171304303
LR-MOV-B,MOVER-trained,0.9312326414051642,0.8387197221900548,0.09934458383623017
