comparison,direction,model_preop,model_intraop,auc_preop,auc_intraop,diff_point,diff_median_bootstrap,ci_lower_025,ci_upper_975,bootstrap_p_vs_zero,n_bootstraps,seed,mean_auc_preop,mean_auc_intraop
intraop_minus_preop,INSPIRE_to_MOVER,XGB-INS-A,XGB-INS-B,0.785103857345559,0.8952584631497492,0.11015460580419023,0.11008711304823399,0.09816617535939706,0.12194819281597605,0.0009995002498750624,2000,43,,
intraop_minus_preop,INSPIRE_to_MOVER,LR-INS-A,LR-INS-B,0.7960276663018024,0.7409764225795157,-0.05505124372228676,-0.054968228132136976,-0.07873276026642487,-0.032817300979299927,0.0009995002498750624,2000,43,,
intraop_minus_preop,MOVER_to_INSPIRE,XGB-MOV-A,XGB-MOV-B,0.7557296401833105,0.8120957599632884,0.05636611977997796,0.05640494301872634,0.04427873228305931,0.06819550170406465,0.0009995002498750624,2000,43,,
intraop_minus_preop,MOVER_to_INSPIRE,LR-MOV-A,LR-MOV-B,0.8060525150444746,0.838719722190055,0.03266720714558036,0.032507185340054257,0.025805408640644734,0.039353599777540875,0.0009995002498750624,2000,43,,
mean_intraop_minus_mean_preop_all8,cross_direction,,,,,0.03603417225186556,0.035953261845123485,0.027492040300424094,0.04392444087845529,0.0009995002498750624,2000,43,0.7857284197187866,0.8217625919706522
