role,statistic,point,bootstrap_median,ci_lower,ci_upper,bootstrap_p_vs_zero,n_bootstraps,seed,inferential_claim,permutation_exact_p,permutation_mc_p,internal_auc_source
SUPPORTING,mean_degradation_inspire,0.054009624625638714,0.05398968001556849,0.04205283561133998,0.06599307818746818,0.0009995002498750624,2000,45,False,0.1428571428571428,0.1408859114088591,phase2_3_training_summary.json
SUPPORTING,mean_degradation_mover,0.13930476429875055,0.13916483314595274,0.12831789178764816,0.15118455264267766,0.0009995002498750624,2000,45,False,0.1428571428571428,0.1408859114088591,phase2_3_training_summary.json
PRIMARY,diff_mov_minus_ins,0.08529513967311184,0.08518943897720002,0.06906403183654826,0.10239782062986828,0.0009995002498750624,2000,45,True,0.1428571428571428,0.1408859114088591,phase2_3_training_summary.json
SUPPORTING,ratio_mov_over_ins,2.579258146382704,2.5701706550705334,2.080992763505683,3.3515776487401676,0.0009995002498750624,2000,45,False,0.1428571428571428,0.1408859114088591,phase2_3_training_summary.json
