config,scale_pos_weight,smote,n_train,n_train_events,external_auc,brier,calibration_slope,calibration_intercept,oe_ratio,duration_min,seed
no_weighting,1.0,False,127413,1387,0.8979373639711884,0.013474368990418992,1.1915007550267318,-0.539086668286589,2.3135580965300813,0.07,42
class_weighting_main,9.734325779135473,False,127413,1387,0.8952584631497492,0.04746833397871471,1.2937846003074183,-2.67813021519375,10.200562895177201,0.07,42
smote,1.0,True,252052,126026,0.8216423084204718,0.046308025587975234,1.0154005513862026,-2.7376060109422253,10.502930845282203,0.18,42
