auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,n_estimators
0.9550373399027485,0.010858804046003505,5755,82,0.014248479582971329,1.0611419537441258,-0.6605169303740908,0.581253886372395,0.010355430966235866,1,290
0.9322249594785741,0.012817216232299514,5755,82,0.014248479582971329,0.7118570825712505,-1.0908562389619019,0.7304609135355725,0.007767423183344091,2,383
0.9586958553537138,0.012466559479895868,5755,83,0.014422241529105127,0.8610787103720136,-1.0637133110249444,0.5881628226860616,0.010098590635381577,3,575
0.9626297857154995,0.010800569074965866,5755,83,0.014422241529105127,0.9682035273908708,-0.8775413154812339,0.593481864694783,0.009878824420433514,4,250
0.9294144136489542,0.010506478754754163,5755,83,0.014422241529105127,0.8173421852048334,-0.8141853285833381,0.7451901598788843,0.0051689436691247535,5,355
0.9754141009322647,0.009582596530802526,5754,82,0.014250955856795273,0.9358549170985527,-0.8752914480036741,0.6469556126579309,0.007813351344064311,6,655
0.9596907358354261,0.01013470042859484,5754,82,0.014250955856795273,0.7487541678507814,-0.5778998660681024,0.99407342705528,0.004692370595205308,7,355
0.9336707489077711,0.014087583765651368,5754,82,0.014250955856795273,0.7588358674716907,-1.3663968854747732,0.5371336159290425,0.012280532728791694,8,231
0.9334084419828684,0.012149707749556643,5754,82,0.014250955856795273,1.0363911671660688,-0.448834698557154,0.655383497896144,0.007783385303020697,9,132
0.9507680002752074,0.010266985154123982,5754,82,0.014250955856795273,0.6718771995987353,-0.5771516163419523,1.1730279737146836,0.006412087745576082,10,518
