auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,n_estimators
0.8331686471817545,0.031490846917864024,12742,139,0.010908805525035316,0.9331448708708234,-2.756323202597875,0.10949420012139012,0.08872027012862041,1,40
0.8487998461026466,0.0392436953671108,12742,139,0.010908805525035316,1.0174548297695944,-2.963102647958534,0.09089777002358401,0.10910300142444208,2,133
0.8658495721870492,0.02885182380806699,12742,139,0.010908805525035316,1.041555214300899,-2.5772530539658653,0.1145667405836355,0.08431620823682705,3,203
0.8795921605966833,0.06291470817118015,12741,138,0.010831174947021427,1.0571337253644635,-3.533649255718613,0.061434457543504226,0.1654733922901947,4,97
0.8778491318492146,0.014400145939357635,12741,138,0.010831174947021427,1.1429849091673283,-1.4960696470940067,0.21917667990649722,0.038775462423889163,5,78
0.850821118045278,0.10095087995806566,12741,138,0.010831174947021427,0.8982549421221849,-4.056631135496421,0.04459951427584019,0.23202292595493457,6,101
0.8656956358417471,0.03994566398478697,12741,139,0.010909661721999843,1.0805260311682638,-2.9596391453453386,0.08665335537777745,0.11499038009555143,7,142
0.8699541239885412,0.013551137847505284,12741,139,0.010909661721999843,2.8284296653005887,2.1963582560084394,0.15287057913146257,0.06060659295400742,8,78
0.8604024255599488,0.11879242896022295,12741,139,0.010909661721999843,17.05013432398222,5.89350393968275,0.032073441547247915,0.0,9,85
0.8752590373344873,0.10466723707697843,12741,139,0.010909661721999843,1.0548704815236207,-4.148959750199696,0.04367461954314647,0.23888442209958247,10,121
