auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,n_estimators
0.9757967780629684,0.016376501684482958,5755,82,0.014248479582971329,1.1371100924959587,-2.4074288622996183,0.2714904768332793,0.03823394708240522,1,239
0.9228254934585305,0.009715566586384476,5755,82,0.014248479582971329,0.821369448537656,-1.2774256871049545,0.5727132216834531,0.010630429245469204,2,105
0.9687962003160738,0.019192555422667557,5755,83,0.014422241529105127,1.3745802986150941,-2.1923170736008113,0.213638387393646,0.053678543990126754,3,58
0.9552483559059934,0.01857731832169804,5755,83,0.014422241529105127,0.9229791285037118,-2.4849213548558646,0.26974554649839305,0.03904385853892462,4,168
0.9452170458986864,0.018807810979712396,5755,83,0.014422241529105127,0.9016171841252573,-2.4051683951464695,0.2771441640937557,0.037616527634269134,5,146
0.981122501634043,0.022280536423768097,5754,82,0.014250955856795273,1.3703220512467793,-2.8739649070351567,0.1906768884205937,0.06048781349281547,6,115
0.97272437992363,0.009917431642761388,5754,82,0.014250955856795273,1.2726482231992935,-0.7497387613102348,0.46032402338096884,0.01691246814184557,7,192
0.9589962675014622,0.024045711632757177,5754,82,0.014250955856795273,1.6712331302740149,-2.2623007805964113,0.14652937681213796,0.08365032694253619,8,161
0.9533717190133819,0.029859145567403208,5754,82,0.014250955856795273,1.5611909718605637,-2.770085881420383,0.14211615865107446,0.08610796164883916,9,335
0.9517290756475971,0.023892084567500832,5754,82,0.014250955856795273,1.264421891174118,-2.4755741154719826,0.18225875901229116,0.06393983166350513,10,193
