auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,n_estimators
0.8859766745042434,0.08677971702550095,12742,139,0.010908805525035316,0.9712346938658267,-3.998756894106663,0.05014752432358922,0.20662546829694567,1,168
0.8908847214064026,0.021748611824467516,12742,139,0.010908805525035316,1.1002302277486267,-2.305245649251497,0.14225489692688956,0.06577611394997512,2,653
0.8906175702142406,0.01216494051169218,12742,139,0.010908805525035316,1.0862883325379746,-1.243850391433757,0.2990877294728625,0.025594070035036144,3,482
0.9094895740259681,0.00946515013091467,12741,138,0.010831174947021427,1.0418012969233301,-0.429112268949739,0.6347833594083944,0.006289167644710368,4,644
0.8943080035004317,0.015237605096748819,12741,138,0.010831174947021427,1.1037316857276915,-1.782967400581361,0.20561433707193236,0.04188309167438664,5,221
0.8768213687332322,0.053231162028136866,12741,138,0.010831174947021427,0.9584398157155698,-3.4196520057514874,0.07294146583120595,0.13766015653963587,6,98
0.8948790816577019,0.01705313734347224,12741,139,0.010909661721999843,1.1467618834901276,-1.8829723848118032,0.1770225097056758,0.050719007562862614,7,84
0.9060432339733672,0.014541256796582261,12741,139,0.010909661721999843,1.1094152044678594,-1.6827211526448036,0.22016100131678432,0.038643447032689376,8,446
0.8988284376466452,0.02748769398721862,12741,139,0.010909661721999843,1.0877434531170067,-2.590041774504863,0.11728189066950774,0.08211118608588738,9,1097
0.9101747010580712,0.019242621236127806,12741,139,0.010909661721999843,1.1105714666228148,-2.1130748811619258,0.1623058477615825,0.05630702924509777,10,873
