auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,best_C
0.8742459971560956,0.12054381778301518,12742,139,0.010908805525035316,0.8338095453745745,-4.333942112736978,0.04100053690552296,0.25515613772613116,1,0.001
0.88653780617496,0.12032311028491223,12742,139,0.010908805525035316,0.9017340659843797,-4.419847124286985,0.04099814039904717,0.25517169029396153,2,0.001
0.8969698318945416,0.12183528767653327,12742,139,0.010908805525035316,0.9133120816992927,-4.419723005329043,0.04032363203625344,0.2596225175271051,3,0.001
0.8903429940191374,0.12442572408027355,12741,138,0.010831174947021427,0.8696261861203962,-4.447936840544692,0.03980157996213306,0.2612980962358345,4,0.001
0.8803131759518955,0.12314573737279001,12741,138,0.010831174947021427,0.9338495062985979,-4.480780160752035,0.04012738847651512,0.2590885820628438,5,0.001
0.8709054779917824,0.12522425889202066,12741,138,0.010831174947021427,0.8171097273003992,-4.400082922263917,0.040086244354588935,0.25936562501290084,6,0.001
0.8917038405460365,0.12595801401242723,12741,139,0.010909661721999843,0.935299206029512,-4.494148693485427,0.03987424137310502,0.2626920757986633,7,0.001
0.8943047751927009,0.12319639274136089,12741,139,0.010909661721999843,0.9097228732288154,-4.440984499539868,0.04029653712451541,0.2598248107784342,8,0.001
0.887354296851362,0.12497069696144895,12741,139,0.010909661721999843,0.7345475752085587,-4.335528816804045,0.04014169340663428,0.26086914968700736,9,0.001
0.8951942080679213,0.12477904823485511,12741,139,0.010909661721999843,0.9248706561639864,-4.474875040602224,0.03985303777211058,0.2628376441768369,10,0.001
