auc,brier,n_samples,n_events,event_rate,calibration_slope,calibration_intercept,o_e_ratio,ece,fold,best_C
0.9454239809452564,0.09508706540160472,5755,82,0.014248479582971329,0.9631118572459832,-4.2314683423360275,0.066469444449309,0.2001128664613382,1,0.001
0.921704436504968,0.09553042716792172,5755,82,0.014248479582971329,0.8054886933030497,-3.9157464057480826,0.06779992355880811,0.19590632347683634,2,0.001
0.9329001478410115,0.10049348708673873,5755,83,0.014422241529105127,0.8171942168283467,-4.046168206940961,0.06565957833300036,0.20522951218702468,3,0.001
0.9513335429163764,0.09948505063861104,5755,83,0.014422241529105127,0.967237351046856,-4.363529878504313,0.06579709059215975,0.20477045224060467,4,0.001
0.9100740054718167,0.09699025641113164,5755,83,0.014422241529105127,0.8331159583012641,-3.986274651612338,0.06884642284067423,0.1950620124673787,5,0.001
0.951810777804534,0.09557385007235134,5754,82,0.014250955856795273,1.032514334720913,-4.361822366384551,0.06624117090844166,0.20088648301023349,6,0.001
0.9407078846881557,0.10059193934152343,5754,82,0.014250955856795273,0.8720395256519416,-4.127411249113692,0.06496429788802525,0.20511500852811537,7,0.001
0.9212176201451718,0.09273289744647707,5754,82,0.014250955856795273,0.8829792205521476,-3.9761663750309557,0.06873095643374993,0.19309310853916328,8,0.001
0.9067885892187553,0.09658673345536786,5754,82,0.014250955856795273,0.7664629293855559,-3.906410981453257,0.06793079818171237,0.19553541848661363,9,0.001
0.9330042313117066,0.09385462645076159,5754,82,0.014250955856795273,0.8534926820808392,-4.010599570387472,0.06802236838769567,0.19525300871514512,10,0.001
